campaign_id,customer_id,target_date
1,301,6/15/2025
1,10884,10/22/2025
1,8278,6/25/2025
1,17696,6/15/2025
1,16148,7/31/2025
1,1338,9/12/2025
1,18584,9/12/2025
1,18352,6/22/2025
1,3205,5/30/2025
1,3688,8/19/2025
1,11257,4/23/2025
1,17477,9/6/2025
1,13704,10/12/2025
1,5575,7/16/2025
1,5005,9/18/2025
1,5092,10/5/2025
1,1863,6/7/2025
1,15402,4/4/2025
1,14205,10/2/2025
1,15912,5/11/2025
1,12212,4/19/2025
1,12446,10/11/2025
1,12008,5/3/2025
1,18686,10/27/2025
1,6818,5/26/2025
1,19101,8/14/2025
1,9510,10/30/2025
1,9169,10/3/2025
1,13743,9/17/2025
1,3196,9/16/2025
1,4448,10/6/2025
1,17936,8/19/2025
1,11305,9/9/2025
1,1914,5/4/2025
1,8740,8/31/2025
1,2574,8/23/2025
1,16960,9/7/2025
1,5839,8/24/2025
1,15514,10/29/2025
1,9125,5/20/2025
1,1676,8/30/2025
1,7672,4/2/2025
1,11980,4/27/2025
1,5773,9/7/2025
1,585,7/3/2025
1,8004,9/12/2025
1,6255,7/4/2025
1,2737,9/30/2025
1,9012,10/27/2025
1,19872,7/22/2025
1,4111,8/2/2025
1,5821,6/1/2025
1,19608,6/21/2025
1,3017,8/1/2025
1,9401,4/14/2025
1,17242,4/22/2025
1,11839,10/18/2025
1,19376,5/24/2025
1,5751,4/5/2025
1,14195,7/28/2025
1,18774,8/6/2025
1,19133,6/22/2025
1,19900,9/7/2025
1,10695,5/3/2025
1,5436,7/2/2025
1,14622,7/22/2025
1,3404,8/20/2025
1,13308,6/11/2025
1,19078,8/29/2025
1,14846,10/6/2025
1,4898,5/23/2025
1,18538,4/27/2025
1,14734,10/28/2025
1,2779,7/18/2025
1,9266,10/24/2025
1,6518,9/7/2025
1,13127,7/9/2025
1,16723,5/18/2025
1,18104,8/19/2025
1,11803,4/4/2025
1,632,8/26/2025
1,10887,8/13/2025
1,368,9/24/2025
1,6224,10/20/2025
1,15720,8/24/2025
1,9857,9/16/2025
1,14468,4/30/2025
1,13287,8/16/2025
1,12383,9/4/2025
1,2889,4/22/2025
1,6326,10/13/2025
1,12588,6/30/2025
1,13315,10/18/2025
1,17505,5/28/2025
1,13859,8/30/2025
1,4285,10/16/2025
1,7781,5/9/2025
1,3989,10/3/2025
1,6542,5/1/2025
1,13675,7/8/2025
1,19754,5/25/2025
1,18034,9/23/2025
1,10294,10/6/2025
1,15219,10/26/2025
1,8371,9/9/2025
1,374,5/22/2025
1,16067,4/3/2025
1,60,4/1/2025
1,14441,6/21/2025
1,14393,8/22/2025
1,16150,10/10/2025
1,4630,8/13/2025
1,1063,6/5/2025
1,10431,9/19/2025
1,5767,8/23/2025
1,3046,7/28/2025
1,6887,6/2/2025
1,15060,7/28/2025
1,3219,8/4/2025
1,11852,10/17/2025
1,13644,5/18/2025
1,13562,8/4/2025
1,9744,6/6/2025
1,12270,10/1/2025
1,2511,4/8/2025
1,3933,9/8/2025
1,9939,8/21/2025
1,1558,9/19/2025
1,746,5/26/2025
1,10259,5/11/2025
1,18543,8/29/2025
1,3078,9/29/2025
1,7699,5/4/2025
1,6716,8/24/2025
1,10919,10/10/2025
1,3711,8/12/2025
1,5431,4/29/2025
1,9458,6/14/2025
1,42,6/1/2025
1,7132,10/31/2025
1,14839,8/11/2025
1,3923,5/24/2025
1,2488,8/13/2025
1,14466,8/30/2025
1,17827,6/24/2025
1,13223,8/7/2025
1,18203,8/14/2025
1,5920,10/24/2025
1,2318,5/6/2025
1,5498,6/13/2025
1,9947,4/11/2025
1,2327,6/28/2025
1,2243,10/21/2025
1,17484,10/8/2025
1,19676,4/3/2025
1,18309,10/14/2025
1,7429,9/2/2025
1,2752,6/12/2025
1,5776,9/13/2025
1,2658,8/17/2025
1,2632,5/24/2025
1,15930,5/29/2025
1,13018,9/25/2025
1,1735,4/30/2025
1,17000,5/14/2025
1,6390,9/17/2025
1,7794,10/11/2025
1,6179,5/20/2025
1,19074,6/8/2025
1,14453,9/15/2025
1,19595,7/26/2025
1,13047,7/23/2025
1,18126,7/4/2025
1,1172,8/5/2025
1,14101,10/19/2025
1,4439,10/27/2025
1,808,5/24/2025
1,2780,8/22/2025
1,10590,8/11/2025
1,5802,6/1/2025
1,19131,10/2/2025
1,10232,6/21/2025
1,13016,5/25/2025
1,8008,4/20/2025
1,17475,10/21/2025
1,18167,9/28/2025
1,18658,6/15/2025
1,4303,9/18/2025
1,4708,10/31/2025
1,1974,10/7/2025
1,17508,7/26/2025
1,16017,6/20/2025
1,282,7/7/2025
1,19561,8/27/2025
1,6821,8/3/2025
1,18465,9/29/2025
1,3753,8/2/2025
1,14499,5/26/2025
1,9965,5/10/2025
1,17831,6/29/2025
1,6418,9/5/2025
1,3369,8/19/2025
1,10936,4/24/2025
1,9104,5/21/2025
1,6553,9/30/2025
1,6600,9/15/2025
1,19993,5/21/2025
1,2322,6/16/2025
1,16176,9/23/2025
1,1073,4/23/2025
1,4493,6/7/2025
1,3689,9/9/2025
1,14533,4/28/2025
1,9076,4/29/2025
1,4583,5/11/2025
1,14386,4/30/2025
1,7820,5/3/2025
1,10753,6/21/2025
1,15143,4/19/2025
1,9968,5/31/2025
1,14126,7/19/2025
1,7588,4/18/2025
1,4175,4/17/2025
1,19423,10/9/2025
1,12336,10/21/2025
1,1598,4/9/2025
1,4452,6/8/2025
1,4804,9/12/2025
1,9690,7/29/2025
1,6425,5/31/2025
1,19946,4/6/2025
1,14005,4/15/2025
1,1758,4/30/2025
1,13639,10/17/2025
1,14482,9/14/2025
1,16208,9/18/2025
1,10432,6/6/2025
1,162,7/9/2025
1,10236,10/25/2025
1,9990,6/15/2025
1,12793,4/8/2025
1,9172,4/28/2025
1,10392,9/18/2025
1,1840,6/18/2025
1,11827,6/17/2025
1,425,10/15/2025
1,19071,10/10/2025
1,19215,8/3/2025
1,34,6/6/2025
1,12696,9/25/2025
1,4079,9/18/2025
1,18682,7/18/2025
1,17212,4/8/2025
1,16106,6/8/2025
1,3927,7/30/2025
1,1359,9/4/2025
1,14052,9/8/2025
1,16674,6/23/2025
1,2738,9/17/2025
1,9655,8/14/2025
1,8422,8/25/2025
1,11850,5/31/2025
1,11542,6/9/2025
1,1231,9/9/2025
1,9966,10/1/2025
1,13162,10/26/2025
1,11951,6/20/2025
1,1492,9/5/2025
1,111,9/6/2025
1,2420,4/16/2025
1,812,9/16/2025
1,2661,9/16/2025
1,11282,9/30/2025
1,5462,9/10/2025
1,4009,4/3/2025
1,1171,7/30/2025
1,5397,6/9/2025
1,6100,4/10/2025
1,543,4/17/2025
1,6932,5/6/2025
1,4606,4/4/2025
1,14858,9/7/2025
1,8676,8/25/2025
1,15994,9/27/2025
1,2735,8/31/2025
1,3375,6/28/2025
1,14383,4/6/2025
1,15419,4/30/2025
1,3871,5/26/2025
1,6957,10/24/2025
1,17396,5/21/2025
1,508,10/14/2025
1,12961,6/27/2025
1,340,7/7/2025
1,16260,5/11/2025
1,4267,8/7/2025
1,7623,8/3/2025
1,7712,8/21/2025
1,12061,6/11/2025
1,5294,7/2/2025
1,323,9/2/2025
1,2446,10/2/2025
1,5665,6/30/2025
1,12745,7/24/2025
1,4873,5/13/2025
1,10156,9/12/2025
1,5188,7/13/2025
1,14689,10/6/2025
1,13940,4/30/2025
1,14162,8/18/2025
1,5467,5/24/2025
1,2465,9/13/2025
1,2285,6/13/2025
1,17822,7/14/2025
1,5183,9/5/2025
1,1716,5/19/2025
1,18318,5/17/2025
1,16559,5/26/2025
1,8720,8/28/2025
1,7403,8/3/2025
1,13805,10/31/2025
1,10942,8/8/2025
1,14593,10/6/2025
1,15670,6/18/2025
1,1478,5/18/2025
1,16587,4/17/2025
1,3970,5/31/2025
1,4495,8/10/2025
1,8428,8/1/2025
1,2395,10/18/2025
1,13823,5/17/2025
1,18166,7/1/2025
1,4163,10/17/2025
1,14646,6/18/2025
1,5031,6/11/2025
1,19240,6/29/2025
1,6433,7/22/2025
1,7943,5/30/2025
1,10340,5/11/2025
1,6731,6/21/2025
1,1896,7/5/2025
1,9121,4/29/2025
1,842,6/10/2025
1,17441,9/21/2025
1,12550,4/11/2025
1,1785,5/6/2025
1,18041,4/26/2025
1,10777,5/19/2025
1,2452,7/3/2025
1,11579,9/28/2025
1,13296,4/22/2025
1,2269,5/31/2025
1,12576,8/10/2025
1,14838,6/29/2025
1,9374,7/10/2025
1,19647,7/5/2025
